,1° iteração,2° iteração,3° iteração,4° iteração,5° iteração,6° iteração,7° iteração,8° iteração,9° iteração,10° iteração,11° iteração,12° iteração,13° iteração,14° iteração,15° iteração,16° iteração,17° iteração,18° iteração,19° iteração,20° iteração,Média (s) em segundos
Melhor caso bubble sort,0.057,0.056,0.055,0.073,0.073,0.061,0.059,0.063,0.058,0.057,0.063,0.064,0.066,0.06,0.068,0.061,0.06,0.066,0.058,0.062,0.062
Pior caso bubble sort,0.204,0.205,0.208,0.196,0.205,0.217,0.236,0.198,0.206,0.187,0.195,0.211,0.23,0.21,0.222,0.209,0.208,0.238,0.205,0.196,0.2093
Melhor caso bubble sort otimizado,0.00062043,0.00060185,0.00067741,0.00121306,0.00057489,0.00068139,0.00086248,0.00065687,0.0006992,0.00065357,0.00061622,0.00077693,0.00076635,0.00062512,0.00058766,0.00062029,0.00057306,0.00071218,0.00084753,0.0005732,0.0006969845
Pior caso bubble sort otimizado,0.10562889,0.09461399,0.09100525,0.09633763,0.09475169,0.10301735,0.10074935,0.10037365,0.09898011,0.09096634,0.0956197,0.09359608,0.10182424,0.09638851,0.09590869,0.09489811,0.10525013,0.09316997,0.10517238,0.09637318,0.097731262
